index,lat,lon,alt,heading,pitch,roll,yaw
340,20.64808,-103.809715,2133.0,180.0,-1.07,-2.32,-175.02
341,20.647815,-103.8097133333,2134.0,179.0,-1.03,-1.09,-175.1
342,20.6476533333,-103.80971,2134.0,178.0,-0.62,-1.26,-175.91
343,20.647385,-103.8096983333,2134.0,177.0,-0.89,-2.65,-177.38
344,20.6471666667,-103.809685,2134.0,176.0,-0.43,-0.68,-174.33
345,20.647005,-103.8096716667,2134.0,176.0,-0.14,0.83,-172.94
346,20.6467333333,-103.8096533333,2134.0,176.0,-0.35,0.39,-174.27
347,20.646625,-103.809645,2134.0,176.0,-0.6,0.89,-174.56
348,20.6463516667,-103.809625,2135.0,176.0,-0.15,2.0,-173.56
349,20.6460766667,-103.8096083333,2135.0,176.0,-0.24,0.56,-174.53
350,20.6459683333,-103.8096016667,2135.0,176.0,-0.26,-0.3,-175.4
351,20.645805,-103.8095916667,2135.0,176.0,-0.27,-0.25,-175.57
352,20.64553,-103.8095716667,2134.0,176.0,-0.09,0.01,-175.74
353,20.6452566667,-103.8095516667,2134.0,175.0,0.02,0.34,-175.51
354,20.6451466667,-103.8095433333,2134.0,175.0,0.14,0.61,-175.09
355,20.644875,-103.8095216667,2134.0,175.0,0.17,1.03,-174.38
356,20.6446016667,-103.8095016667,2134.0,176.0,0.31,0.23,-174.85
357,20.6444933333,-103.809495,2133.0,176.0,0.37,-0.05,-176.11
358,20.6442233333,-103.809475,2133.0,175.0,0.15,-1.05,-176.53
359,20.6440616667,-103.80946,2133.0,175.0,0.45,0.1,-176.6
360,20.6437916667,-103.8094366667,2132.0,175.0,0.23,-0.04,-176.59
361,20.6435266667,-103.8094116667,2132.0,174.0,0.51,0.08,-176.68
362,20.64342,-103.8094016667,2132.0,174.0,0.57,-0.53,-177.41
363,20.643155,-103.809375,2132.0,174.0,0.56,0.35,-176.36
